Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2013,1,Frozen,"$1,280,802,282","$400,738,009",31.3%,"$880,064,273",68.7%
2013,2,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%
2013,3,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%
2013,4,The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%
2013,5,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%
2013,6,Fast & Furious 6,"$788,682,573","$238,679,850",30.3%,"$550,000,000",69.7%
2013,7,Monsters University,"$746,874,053","$268,492,764",35.9%,"$475,066,843",63.6%
2013,8,Gravity,"$723,192,705","$274,092,705",37.9%,"$449,100,000",62.1%
2013,9,Man of Steel,"$670,145,518","$291,045,518",43.4%,"$379,100,000",56.6%
2013,10,Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%
2013,11,The Croods,"$587,204,668","$187,168,425",31.9%,"$400,036,243",68.1%
2013,12,World War Z,"$540,007,876","$202,359,711",37.5%,"$337,648,165",62.5%
2013,13,Oz the Great and Powerful,"$493,410,330","$234,911,825",47.6%,"$258,400,000",52.4%
2013,14,Star Trek Into Darkness,"$467,365,246","$228,778,661",49%,"$238,586,585",51%
2013,15,The Wolverine,"$414,829,373","$132,556,852",32%,"$282,271,394",68%
2013,16,Pacific Rim,"$411,002,906","$101,802,906",24.8%,"$309,200,000",75.2%
2013,17,The Wolf of Wall Street,"$392,000,694","$116,900,694",29.8%,"$275,100,000",70.2%
2013,18,G.I. Joe: Retaliation,"$375,740,705","$122,523,060",32.6%,"$253,217,645",67.4%
2013,19,The Hangover Part III,"$362,000,072","$112,200,072",31%,"$249,800,000",69%
2013,20,The Great Gatsby,"$353,641,895","$144,840,419",41%,"$208,801,476",59%
2013,21,Now You See Me,"$351,723,989","$117,723,989",33.5%,"$234,000,000",66.5%
2013,22,The Smurfs 2,"$348,272,480","$71,017,784",20.4%,"$276,527,576",79.4%
2013,23,The Conjuring,"$319,494,638","$137,400,141",43%,"$182,094,497",57%
2013,24,A Good Day to Die Hard,"$304,869,202","$67,349,198",22.1%,"$237,304,984",77.8%
2013,25,Oblivion,"$286,234,775","$89,107,235",31.1%,"$197,061,337",68.8%
2013,26,Elysium,"$286,153,369","$93,050,117",32.5%,"$193,090,583",67.5%
2013,27,Turbo,"$283,919,800","$83,028,128",29.2%,"$199,542,554",70.3%
2013,28,Cloudy with a Chance of Meatballs 2,"$274,467,696","$119,793,567",43.6%,"$154,532,382",56.3%
2013,29,Epic,"$268,479,245","$107,518,682",40%,"$160,907,952",59.9%
2013,30,The Lone Ranger,"$260,506,125","$89,302,115",34.3%,"$171,200,000",65.7%
2013,31,American Hustle,"$258,124,246","$150,117,807",58.2%,"$101,054,000",39.1%
2013,32,Grown Ups 2,"$246,996,045","$133,668,525",54.1%,"$113,315,753",45.9%
2013,33,After Earth,"$243,631,529","$60,522,097",24.8%,"$183,089,885",75.2%
2013,34,Planes,"$239,589,968","$90,288,712",37.7%,"$148,970,000",62.2%
2013,35,The Heat,"$231,111,438","$159,582,188",69%,"$70,348,583",30.4%
2013,36,Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.6%,"$170,646,274",75.4%
2013,37,Captain Phillips,"$218,792,400","$107,100,855",49%,"$111,690,956",51%
2013,38,Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%
2013,39,White House Down,"$205,380,262","$73,103,784",35.6%,"$132,262,953",64.4%
2013,40,Percy Jackson: Sea of Monsters,"$200,623,531","$68,559,554",34.2%,"$131,290,761",65.4%
2013,41,Jack the Giant Slayer,"$198,351,975","$65,187,603",32.9%,"$132,500,000",66.8%
2013,42,The Secret Life of Walter Mitty,"$188,196,344","$58,236,838",30.9%,"$129,896,484",69%
2013,43,12 Years a Slave,"$188,060,097","$56,671,993",30.1%,"$131,061,209",69.7%
2013,44,The Butler,"$177,895,430","$116,632,095",65.6%,"$60,681,700",34.1%
2013,45,Identity Thief,"$175,689,658","$134,506,920",76.6%,"$39,458,090",22.5%
2013,46,Anchorman 2: The Legend Continues,"$171,478,299","$125,168,368",73%,"$46,296,308",27%
2013,47,Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9%
2013,48,Insidious: Chapter 2,"$161,934,738","$83,586,447",51.6%,"$78,332,871",48.4%
2013,49,Lone Survivor,"$154,945,682","$125,095,601",80.7%,"$29,707,311",19.2%
2013,50,Jackass Presents: Bad Grandpa,"$151,932,614","$102,003,019",67.1%,"$49,823,528",32.8%
2013,51,47 Ronin,"$151,796,191","$38,362,475",25.3%,"$113,421,364",74.7%
2013,52,RED 2,"$151,401,510","$53,262,560",35.2%,"$94,813,005",62.6%
2013,53,Mama,"$146,745,922","$71,628,180",48.8%,"$74,800,000",51%
2013,54,Escape Plan,"$137,745,826","$25,135,965",18.2%,"$112,192,336",81.4%
2013,55,2 Guns,"$132,238,525","$75,612,460",57.2%,"$56,327,951",42.6%
2013,56,This Is the End,"$126,120,949","$101,470,202",80.5%,"$24,571,120",19.5%
2013,57,Ender's Game,"$125,544,582","$61,737,191",49.2%,"$63,806,833",50.8%
2013,58,Prisoners,"$122,802,253","$61,002,302",49.7%,"$61,124,385",49.8%
2013,59,Jurassic Park 2013 Re-release,"$118,192,315","$45,385,935",38.4%,"$72,806,380",61.6%
2013,60,Safe Haven,"$117,990,849","$71,349,120",60.5%,"$26,245,020",22.2%
2013,61,Saving Mr. Banks,"$117,867,984","$83,301,580",70.7%,"$34,566,404",29.3%
2013,62,Warm Bodies,"$117,401,505","$66,380,662",56.5%,"$50,600,000",43.1%
2013,63,Personal Tailor,"$116,126,458","$375,892",0.3%,"$115,750,566",99.7%
2013,64,So Young,"$114,926,694","$11,186",<0.1%,"$114,915,508",100%
2013,65,Free Birds,"$111,092,023","$55,750,480",50.2%,"$54,636,592",49.2%
2013,66,Gangster Squad,"$105,856,273","$46,000,903",43.5%,"$59,200,000",55.9%
2013,67,Philomena,"$100,832,286","$37,709,979",37.4%,"$62,419,893",61.9%
2013,68,Instructions Not Included,"$100,486,616","$44,467,206",44.3%,"$56,019,410",55.7%
2013,69,Blue Jasmine,"$99,146,027","$33,405,481",33.7%,"$65,699,323",66.3%
2013,70,Riddick,"$98,886,562","$42,025,135",42.5%,"$56,312,160",56.9%
2013,71,Young Detective Dee: Rise of the Sea Dragon,"$98,774,891","$87,783",<0.1%,"$98,687,108",99.9%
2013,72,Rush,"$98,445,742","$26,947,624",27.4%,"$68,276,971",69.4%
2013,73,Evil Dead,"$97,592,232","$54,239,856",55.6%,"$43,303,096",44.4%
2013,74,42,"$97,470,701","$95,020,213",97.5%,"$2,450,488",2.5%
2013,75,The Mortal Instruments: City of Bones,"$95,396,573","$31,165,421",32.7%,"$64,231,152",67.3%
2013,76,Police Story: Lockdown,"$94,249,025",-,-,"$94,249,025",100%
2013,77,The Internship,"$94,159,563","$44,672,764",47.4%,"$48,820,080",51.8%
2013,78,Dhoom 3,"$91,288,159","$8,031,955",8.8%,"$80,000,000",87.6%
2013,79,The Purge,"$90,562,798","$64,473,115",71.2%,"$24,855,512",27.4%
2013,80,Pain & Gain,"$88,267,789","$49,875,291",56.5%,"$37,430,258",42.4%
2013,81,Snowpiercer,"$87,837,669","$4,563,650",5.2%,"$82,195,262",93.6%
2013,82,About Time,"$87,100,449","$15,322,921",17.6%,"$71,777,528",82.4%
2013,83,American Dreams in China,"$87,097,067",-,-,"$87,097,067",100%
2013,84,Carrie,"$84,885,321","$35,266,619",41.5%,"$49,524,059",58.3%
2013,85,Finding Mr. Right,"$84,112,033","$6,945",<0.1%,"$84,105,088",100%
2013,86,The Fighter Pilot,"$82,879,386",-,-,"$82,879,386",100%
2013,87,The Family,"$82,132,473","$36,918,811",45%,"$41,500,000",50.5%
2013,88,Miracle in Cell No. 7,"$82,101,723",-,-,"$82,101,723",100%
2013,89,The Attorney,"$78,547,586","$557,236",0.7%,"$77,990,350",99.3%
2013,90,R.I.P.D.,"$78,470,946","$33,618,855",42.8%,"$44,705,365",57%
2013,91,Scary Movie V,"$78,391,999","$32,015,787",40.8%,"$46,362,957",59.1%
2013,92,Tiny Times,"$77,717,014","$23,462",<0.1%,"$77,693,552",100%
2013,93,Suck Me Shakespeer,"$77,676,735",-,-,"$77,676,735",100%
2013,94,The Book Thief,"$77,005,710","$21,488,481",27.9%,"$55,097,835",71.6%
2013,95,Escape from Planet Earth,"$75,154,999","$57,012,977",75.9%,"$17,584,666",23.4%
2013,96,August: Osage County,"$74,188,937","$37,738,810",50.9%,"$36,450,127",49.1%
2013,97,The Best Man Holiday,"$73,632,595","$70,525,195",95.8%,"$2,310,515",3.1%
2013,98,The Big Wedding,"$71,154,750","$21,819,348",30.7%,"$24,702,789",34.7%
2013,99,Delivery Man,"$71,116,779","$30,664,106",43.1%,"$22,456,240",31.6%
2013,100,The Counselor,"$71,019,473","$16,973,715",23.9%,"$54,035,619",76.1%
2013,101,Sole a catinelle,"$69,903,094",-,-,"$69,903,094",100%
2013,102,The Call,"$68,572,631","$51,872,378",75.6%,"$16,700,253",24.4%
2013,103,One Direction: This Is Us,"$68,533,178","$28,873,374",42.1%,"$39,659,524",57.9%
2013,104,Stalingrad,"$68,316,452","$1,013,945",1.5%,"$67,302,507",98.5%
2013,105,The Grandmaster,"$64,526,650","$6,594,959",10.2%,"$57,481,777",89.1%
2013,106,Thunder and the House of Magic,"$64,402,450","$4,091",<0.1%,"$64,193,114",99.7%
2013,107,Side Effects,"$63,414,135","$32,172,757",50.7%,"$31,241,378",49.3%
2013,108,The Host,"$63,365,859","$26,627,201",42%,"$36,738,658",58%
2013,109,Kick-Ass 2,"$63,102,073","$28,795,985",45.6%,"$32,000,000",50.7%
2013,110,Runner Runner,"$62,820,419","$19,316,646",30.7%,"$43,358,449",69%
2013,111,The Face Reader,"$61,559,184","$515,876",0.8%,"$61,043,308",99.2%
2013,112,The Legend of Hercules,"$61,305,016","$18,848,538",30.7%,"$42,430,914",69.2%
2013,113,A Haunted House,"$60,204,489","$40,041,683",66.5%,"$20,117,901",33.4%
2013,114,Beautiful Creatures,"$60,178,357","$19,452,138",32.3%,"$40,600,000",67.5%
2013,115,Snitch,"$57,824,674","$42,930,462",74.2%,"$14,894,212",25.8%
2013,116,The Physician,"$57,284,237",-,-,"$57,284,237",100%
2013,117,Firestorm,"$55,754,766",-,-,"$55,754,766",100%
2013,118,Dallas Buyers Club,"$55,198,285","$27,298,285",49.5%,"$27,900,000",50.5%
2013,119,A Madea Christmas,"$53,396,635","$52,543,354",98.4%,"$853,281",1.6%
2013,120,Temptation: Confessions of a Marriage Counselor,"$53,143,505","$51,975,354",97.8%,"$1,167,790",2.2%
2013,121,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"$51,167,572","$944,193",1.8%,"$50,223,379",98.2%
2013,122,Dragon Ball Z: Battle of Gods,"$50,974,742","$2,553,002",5%,"$47,908,369",94%
2013,123,Her,"$49,764,983","$25,568,251",51.4%,"$22,949,176",46.1%
2013,124,The Berlin File,"$48,972,848","$665,210",1.4%,"$48,307,638",98.6%
2013,125,Homefront,"$48,449,416","$20,158,898",41.6%,"$28,290,518",58.4%
2013,126,The Last Stand,"$48,330,757","$12,050,299",24.9%,"$36,280,458",75.1%
2013,127,21 & Over,"$48,065,672","$25,682,380",53.4%,"$22,383,292",46.6%
2013,128,Texas Chainsaw,"$47,340,586","$34,341,945",72.5%,"$12,998,641",27.5%
2013,129,Tiny Times 2.0,"$47,289,937","$43,788",<0.1%,"$47,246,149",99.9%
2013,130,Switch,"$47,164,301",-,-,"$47,164,301",100%
2013,131,The Place Beyond the Pines,"$47,052,899","$21,403,519",45.5%,"$25,649,380",54.5%
2013,132,Parker,"$46,922,566","$17,616,641",37.5%,"$29,305,925",62.5%
2013,133,Badges of Fury,"$46,495,296",-,-,"$46,495,296",100%
